0,headline,date,snippet,source
19,Gaps in Egyptian Airport Security Face Scrutiny After Crash,2015-11-07T17:12:51+0000,Inconsistencies in airport security in Egypt are now under a spotlight as evidence from the crash of a Russian charter jet points to the possibility of a bombing.,The New York Times
20,How to Upgrade Your Thanksgiving Road Trip,2015-11-09T10:00:19+0000,From a plug-in espresso machine to an organizer for toys and gadgets accessories to make your trip go smoother.,The New York Times
21,The Doomsday Scam,2015-11-19T10:00:19+0000,For decades aspiring bomb makers — including ISIS — have desperately tried to get their hands on a lethal substance called red mercury. There’s a reason that they never have.,The New York Times
22,Electric Scooters and a Network,2015-12-07T11:17:40+0000,A Taiwan-based startup called Gogoro has been using the scooter-filled streets of Taipei to test its Smartscooter an electric scooter supported by a network of battery-swapping stations.,International New York Times
23,Change Isn’t as Easy as a Flip of a Switch,2015-12-07T11:28:26+0000,While renewable energy is extremely popular among the German public power lines are not.,International New York Times
24,Air and Cruise News: Airlines Ban Hoverboards; United Snacks Are Back,2015-12-14T10:45:03+0000,What you need to know if you’re on a trip or planning one soon including cruises with musical themes (“Grease” is the word) and an Arctic trip.,The New York Times
25,Hoverboard Safety Fears Grow as Problems Mount,2015-12-14T17:22:44+0000,After fires the Consumer Product Safety Commission is investigating and online retailers are removing some of the powered boards from their sites.,The New York Times
26,Silencing the Inner Torment a Brooklyn Man Finds a Way Forward,2015-12-19T20:00:04+0000,Tyson Fabers heard voices that compelled him toward violence and self-medication. Now he is working to regain the commercial driver’s license he lost while hospitalized.,The New York Times
27,New York Officials Seek to Legalize Hoverboards,2015-12-30T03:43:27+0000,State Senator Jose Peralta a Democrat has introduced a state bill to allow use of the devices in New York City as their popularity has surged in recent months in cities.,The New York Times
28,Ted Stanley Whose Son’s Illness Inspired Philanthropy Dies at 84,2016-01-08T23:32:58+0000,Mr. Stanley who made his fortune selling collectibles gave hundreds of millions of dollars to biomedical research on psychiatric disorders.,The New York Times
29,Video Review: Chevy Volt Impresses With Tech Design and Driving Pleasure,2016-01-21T16:56:26+0000,The second-generation Chevy Volt a plug-in hybrid available this spring is more efficient than its predecessor looks better and is about $1000 less expensive. It’s also fun to drive.,The New York Times
30,In Philadelphia Batteries on Transit System Power More Than Just the Trains ,2016-01-22T01:18:59+0000,In an experimental system every time the trains pull into certain stations they channel the energy created by the friction of their brakes to battery banks at one of two substations.,The New York Times
31,Video Review: The BMW X5 xDrive40e a Hybrid for the Future,2016-02-05T01:33:16+0000,The fuel savings may not offset the cost at today’s prices but this well-engineered and smooth-driving S.U.V requires no other sacrifices of its owner.,The New York Times
32,The Risks in Hoverboards and Other Lithium-Ion Gadgets,2016-03-02T18:51:22+0000,Inexpensive battery-powered devices are catching fire and exploding but there are ways to protect yourself.,The New York Times
33,Video Review: Volvo’s XC90 T8 Is Another Step Up,2016-03-31T12:52:25+0000,The powerful efficient and costly plug-in hybrid is targeted to draw buyers away from traditional luxury brands.,The New York Times
34,Tesla Model 3 Orders Surge Even Before Its Unveiling,2016-04-01T08:24:27+0000,The new electric vehicle is “the final step in the master plan which is a mass market affordable car” said Tesla’s chief executive Elon Musk.,The New York Times
35,What Makes Formula E Cars Tick,2016-04-22T10:37:59+0000,While they may be clean and quiet these are still serious racing machines.,International New York Times
36,Japan Consortium Misses Out on $38.5 Billion Australian Submarine Deal,2016-04-26T10:21:07+0000,Australia chose a French company to supply a dozen attack submarines for its navy rejecting a bid from a Japanese consortium that had been seen as the front-runner.,The New York Times
37,Young Analysts Press the Case for Innovation and Tolerance in Pursuing a Post-Carbon Energy Menu,2016-05-06T21:14:00+0000,Two young energy analysts offer a path past the tangled debates over how much to invest in deploying today’s renewable-energy technologies and tomorrow’s breakthroughs.,The New York Times
38,Solar Aircraft Bound Around World Soars Over Statue of Liberty,2016-06-11T15:30:35+0000,A pioneering effort to fly a solar-powered aircraft around the world makes a high-profile stop in the city that never sleeps.,The New York Times
39,Testing the Clean-Energy Logic of a Tesla-SolarCity Merger,2016-06-23T17:26:41+0000,Whether Elon Musk’s “vertically integrated energy company” is the right model some experts see virtue in the theory.,The New York Times
40,How to Recycle Your Used Electronics,2016-06-27T00:00:00+0000,According to a United Nations University study (PDF) “the global quantity of e-waste generation in 2014 was around 41.8 [million metric tons].” That’s approximately 12 pounds of waste or 38 iPhone 6s handsets for every man woman and child on ...,Wirecutter
41,NASA’s Juno Spacecraft Will Soon Be in Jupiter’s Grip,2016-06-28T06:45:39+0000,The spacecraft is to orbit the largest planet in the solar system perhaps providing insight into the origin of Earth.,The New York Times
42,Video Review: Hyundai’s Plug-In Sonata Saves Fuel With Understatement,2016-06-30T16:10:35+0000,The conservatively handsome and roomy Sonata Plug-in Hybrid Hyundai’s entry in a field with few competitors doesn’t look like a science experiment.,The New York Times
43,Elon Musk of Tesla Sticks to Mission Despite Setbacks,2016-07-24T13:39:40+0000,The billionaire entrepreneur Elon Musk is running a private rocket company doubling down on alternative fuels and pressing on with Tesla after a series of accidents.,The New York Times
44,Why Your Phone Dies When It Claims to Have Battery Left,2016-07-26T00:00:00+0000,The battery meter in the corner of a phone's screen might make you think that you’re seeing a perfect standardized measurement but the reality is sometimes a little closer to the guess-your-weight booth at the carnival. Indeed there’s a good ch...,Wirecutter
45,Video Review: Decent Handling in a Toyota Prius? Yes the New One,2016-08-04T14:16:00+0000,The fuel economy of the new fourth-generation Prius is better than the departing model and a new multilink rear suspension upgrades the ride quality.,The New York Times
46,Everyone Despises SolarCity Deal Except Tesla Shareholders,2016-08-04T17:11:28+0000,Focusing on the conflicts of interest in Tesla Motors’ proposed takeover of SolarCity misses the bigger picture some investors say.,The New York Times
47,Should You Charge Your Phone Overnight?,2016-08-22T07:00:28+0000,Leaving your phone plugged in when its battery is already fully charged shouldn’t be bad for it. Except that the act of charging can itself hurt our phones.,The New York Times
48,Watts in a Name? Why We’re Using Watt-Hours to Compare Batteries,2016-08-26T00:00:00+0000,We’re switching to Watt-hours for battery measurements because it’s easier to shop for battery-powered products if you have a way to directly compare them.,Wirecutter
49,Samsung to Recall 2.5 Million Galaxy Note 7s Over Battery Fires,2016-09-02T09:49:48+0000,The recall covers 10 countries and represents a blow to the South Korean company’s effort to catch up with the Apple iPhone.,The New York Times
50,Samsung’s Recall: The Problem With Lithium-Ion Batteries,2016-09-02T15:51:21+0000,The type of battery used in Samsung’s recalled smartphones is lightweight and powerful and it has a troubled history.,The New York Times
51,How to Set Up Off-the-Grid Solar Power,2016-09-08T00:00:00+0000,Here’s a guide to the equipment necessary to generate and store minimal power for a remote property from the solar panels to the breaker panel.,Wirecutter
52,Galaxy Note 7 Owners Are Urged to Stop Using Their Phones,2016-09-09T22:31:41+0000,The warning came from Samsung and safety regulators. Dozens of the smartphones have caught fire or exploded in recent days and a recall is underway.,The New York Times
53,Daily Report: Samsung Compounds Its Smartphone Woes,2016-09-16T15:21:43+0000,A recall has turned into a debacle for the South Korean phone giant as Samsung has trouble executing its recall of phones that are prone to bursting into flames.,The New York Times
54,What to Do if You Have a Samsung Galaxy Note 7,2016-09-16T17:21:49+0000,Samsung’s new smartphone has a serious battery defect and owners should exchange the device as soon as possible.,The New York Times
55,California Today: Clearing the Air Without Fossil Fuels,2016-09-20T11:47:13+0000,Tuesday: Cutting out fossil fuels in Los Angeles the sapping of the Silicon Valley food scene and San Francisco’s friendly bicycling.,The New York Times
56,The Deflategate Scientists Unlock Their Lab,2016-09-21T09:30:48+0000,The researchers whose work led to Tom Brady’s suspension have never spoken publicly. Now they’re eager to say they were right no matter what Patriots fans believe.,The New York Times
57,A Health Checkup for Your Laptop Battery,2016-09-30T16:34:38+0000,Lithium-ion batteries don’t last forever but there are ways to find out your battery’s current condition.,The New York Times
58,Samsung Halts Galaxy Note 7 Production as Battery Problems Linger,2016-10-10T05:01:37+0000,The move is a major setback for the world’s largest producer of smartphones which had been gaining ground against Apple in the high-end market.,The New York Times
59,Do You Have a Samsung Galaxy Note 7? Here’s What to Do,2016-10-11T17:32:06+0000,Power down the device immediately. Then contact the wireless carrier or store where it was bought for details about a refund or exchange.,The New York Times
60,Video Review: Ford Fusion Hybrid Combines Savings and Style,2016-10-27T15:59:22+0000,The Fusion may not be as miserly on gasoline as the Toyota Prius but the Ford has the handsome chiseled lines that many hybrids lack.,The New York Times
61,Batteries That Make Use of Solar Power Even in the Dark,2016-11-03T04:01:36+0000,Solar farms are increasingly common but they depend on the sun. A new technology harvests that energy so it can be sold when prices are high.,The New York Times
62,Looking to the Future of Our Humans-First World,2016-12-09T15:40:53+0000,In “The Unnatural World” David Biello scouts for ideas on how we might now live on a planet that our grandparents won’t recognize for long.,The New York Times
63,Designing a Safer Battery for Smartphones (That Won’t Catch Fire),2016-12-12T00:41:07+0000,A Massachusetts start-up is part of a new wave of efforts in the United States Europe and Asia to improve battery technologies as consumers demand more from phones and cars.,The New York Times
64,Biggest Tech Failures and Successes of 2016,2016-12-14T16:30:01+0000,From exploding smartphones and hoverboards to fake news on social media many tech hardware software and web products suffered embarrassing setbacks. But it was not all bleak.,The New York Times
65,Video Review: Nissan’s Rogue Joins the Toyota RAV4’s Hybrid S.U.V. Club,2016-12-15T14:53:12+0000,The Rogue Hybrid offers an even more fuel-efficient version of a compact sport utility vehicle that was already stingy with a gallon of gas.,The New York Times
66,How to Determine the Power Rating of Your Gadget’s Batteries,2016-12-26T19:17:58+0000,Most phones and tablets are well within the airline industry’s safety rules for lithium-ion batteries but some gadgets like drones may push the limits.,The New York Times
67,A Big Test for Big Batteries,2017-01-14T10:00:19+0000,In California an environmental crisis forced a utility to fast-track a risky idea — using rechargeable cells to stand in for power plants.,The New York Times
68,Fighting iPhone Battery Life Blues,2017-01-23T16:12:52+0000,At least one iPhone model has some units with a defective power cell but other factors like age and temperature can make the battery conk out.,The New York Times
69,Video Review: Acura NSX a Supercar in Almost All Ways,2017-03-30T13:57:44+0000,Honda’s Acura division long erred on the rational and practical side. The second-generation NSX supercar is a welcome shock to those sensibilities.,The New York Times
70,El Salvador’s Historic Mining Ban,2017-04-01T18:30:20+0000,Officials in El Salvador showed exemplary foresight in banning mining of gold and other metals.,The New York Times
71,North Korea’s Nuclear Strength Encapsulated in an Online Ad for Lithium,2017-04-03T09:02:46+0000,An ad for the bomb-boosting isotope lithium 6 suggests how far the North’s nuclear program has come and how difficult President Trump’s vow to halt it will be.,The New York Times
72,India Once a Coal Goliath Is Fast Turning Green,2017-06-02T17:04:00+0000,As the United States drops out of the Paris climate pact New Delhi is canceling coal-fired power plants and investing heavily in renewable energy sources.,The New York Times
73,Le Mans Innovation Rolls Out of Garage 56,2017-06-16T04:01:24+0000,For truly madcap motoring ideas at the race one must turn to Garage 56 which puts a concept car on the track.,International New York Times
74,Tesla to Install World’s Largest Lithium-Ion Battery in Australia. Also: Reactions to North Korea.,2017-07-07T05:52:30+0000,Conversation starters and context drawn from the day’s news in Australia.,The New York Times
75,When Will Electric Cars Go Mainstream? It May Be Sooner Than You Think,2017-07-08T04:07:40+0000,A growing number of analysts say pessimism about plug-in cars could be becoming outdated thanks in part to plunging battery prices.,The New York Times
76,Mosul G-20 Tesla: Your Morning Briefing,2017-07-09T19:45:05+0000,Here’s what you need to know to start your day.,The New York Times
77,A Better Safer Battery Could Be Coming to a Laptop Near You,2017-08-01T21:21:12+0000,A start-up company in Massachusetts says it has found a way to turbocharge alkaline batteries for a safer cheaper and rechargeable alternative to lithium ion.,The New York Times
78,As Samsung Executive Awaits Verdict Company Surges,2017-08-07T08:57:54+0000,But experts say it is still an open question whether the South Korean manufacturing giant has a clear strategy to carry it into the future.,The New York Times
79,In Northern Minnesota Two Economies Square Off: Mining vs. Wilderness,2017-10-12T09:00:26+0000,Proposed mines near the Boundary Waters have become the latest front in the fight over who gets to profit from America’s natural resources.,The New York Times
80,An Electric Car and a Rugged Throwback: The Dreams of 2 Rich Britons,2017-10-12T18:43:01+0000,James Dyson is looking to the future and Jim Ratcliffe to the past. But to make their cars a reality they must overcome the auto industry’s high barriers to entry.,The New York Times
81,A Small Firm in Germany Has Big Ambitions in Green Energy,2017-10-17T09:00:29+0000,Consumers have spent about 190 billion euros on sources like wind and solar which account for about one-third of the country’s electric power.,International New York Times
82,Tesla’s Dangerous Sprint Into the Future,2017-11-07T07:03:40+0000,For Elon Musk’s company autonomous driving is just a pit stop on the road to a better planet. Can it survive long enough to get there?,The New York Times
83,A Tesla Too Pricey? E-Bikes Offer Entry-Level Electric Transportation,2017-11-23T22:00:56+0000,E-bikes already popular elsewhere are making inroads in the United States. But some models have drawn the scrutiny of lawmakers.,The New York Times
84,What Needs to Happen Before Electric Cars Take Over the World,2017-12-18T22:31:48+0000,Electric vehicles have only a tiny market share but the auto industry is betting billions that they will soon be as cheap as conventional cars.,The New York Times
85,Is Apple Slowing Down Old iPhones? Questions and Answers,2017-12-21T18:52:27+0000,Brian X. Chen the lead consumer technology writer for The New York Times discusses the latest Apple statement which has fueled controversy about planned obsolescence.,The New York Times
86,As Electric Cars’ Prospects Brighten Japan Fears Being Left Behind,2018-01-09T19:38:57+0000,The country which missed out on some earlier technological shifts is now scrambling to catch up as the world warms up to battery-powered vehicles.,The New York Times
87,Dr. Ronald Fieve 87 Dies; Pioneered Lithium to Treat Mood Swings,2018-01-12T23:52:46+0000,Dr. Fieve and a colleague identified lithium as the first naturally occurring medication to prevent and control a specific psychiatric disorder.,The New York Times
88,Want to Launch Yourself Off a 4-Meter Ramp Like a Freestyle-Skiing Olympian?,2018-01-30T05:24:48+0000,Follow these easy steps.,The New York Times
89,To Power the Future Carmakers Flip on 48-Volt Systems,2018-02-08T16:22:03+0000,New electrical architecture will help satisfy the demands of cars that are increasingly loaded with gadgets and will enable lower-cost hybrid drive systems.,The New York Times
90,Porsche Positions Itself Against Tesla on the Road and Beside It,2018-03-06T10:19:03+0000,Porsche’s Mission E models will compete with Tesla’s Model S and Model X but the German automaker isn’t focused just on high-performance vehicles. It’s getting into charging too.,The New York Times
91,Why Making North Korea Nuclear-Free Will Be So Hard,2018-03-09T21:21:38+0000,Only one nation has ever disbanded a full-fledged nuclear weapons program. Pyongyang’s big program will be much more difficult to dismantle.,The New York Times
92,Kelp Farms and Mammoth Windmills Are Just Two of the Government’s Long-Shot Energy Bets,2018-03-16T13:00:07+0000,Thousands of entrepreneurs gathered near Washington this week for an annual government conference. On the agenda: unusual solutions to major clean-energy problems.,The New York Times
93,Porsche Mission E Cross Turismo Review: ‘Silence Is the New Power’,2018-06-06T07:01:07+0000,Even leashed by software nannies the electric vehicle concept offers an enticing preview of how Porsche will challenge Tesla.,The New York Times
94,The Tech You Need to Travel Better,2018-06-27T09:00:06+0000,While no product can guarantee a seat upgrade or make your delayed flight arrive on time a few smart investments can make your next trip more comfortable more relaxing and less stressful.,The New York Times
95,How to Safely Charge and Store Lithium Drone Batteries,2018-07-13T00:00:00+0000,Although flying a drone might sound like the biggest risk in operating one dealing with the batteries is potentially more explosive. At the 100 hospital emergency rooms that report electronics-related injury cases to the US Consumer Product Safet...,Wirecutter
96,The $3 Billion Plan to Turn Hoover Dam Into a Giant Battery,2018-07-24T09:00:05+0000,Engineers want to turn the dam into a vast reservoir of excess electricity from the solar farms and wind turbines that represent the power sources of the future.,The New York Times
97,Losing Earth: The Decade We Almost Stopped Climate Change,2018-08-01T04:47:33+0000,We knew everything we needed to know and nothing stood in our way. Nothing that is except ourselves. A tragedy in two acts.,The New York Times
98,Jaguar’s Electric E-Type Marries ’60s Sex Appeal and Tomorrow’s Tech,2018-09-06T18:18:04+0000,Not content to merely revive E-Types to their former glory Jaguar will retrofit them as fully electric machines but it will be costly: $375000 or more if you don’t supply the car.,The New York Times
99,Cheaper Battery Is Unveiled as a Step to a Carbon-Free Grid,2018-09-26T12:00:05+0000,The entrepreneur Patrick Soon-Shiong says his company’s tests of zinc-based storage for solar and wind energy show the potential for large-scale use.,The New York Times
100,How Zinc Batteries Could Change Energy Storage,2018-09-26T17:33:28+0000,Making the batteries rechargeable and lowering their cost are seen as important advances in enabling the electric grid to depend on power from renewable sources. ,The New York Times
101,The Sun Sets. The Wind Dies. But Energy Data Is Relentless.,2018-09-26T18:51:11+0000,Alternative power sources have upended the electric grid. Ivan Penn who covers the beat discusses the changes and how he keeps track of them.,The New York Times
102,Brett Kavanaugh Slovakia Elon Musk: Your Friday Briefing,2018-09-28T04:04:06+0000,Here’s what you need to know to start your day.,The New York Times
103,America’s Military-Industrial Base Is at Risk,2018-10-04T23:39:36+0000,And here’s what the White House is going to do about it. ,The New York Times
104,Police Body Camera Bursts Into Flames; New York Pulls 2990 From Use,2018-10-21T20:17:05+0000,The camera worn by a Staten Island officer exploded during an overnight shift prompting concern over the stability of its lithium-ion battery.,The New York Times
105,The Wheels on These Buses Go Round and Round With Zero Emissions,2018-11-12T10:00:08+0000,Some states concerned about pollution and global warming see school buses as the next frontier for electric vehicles. Prices are high but that's starting to change.,The New York Times
106,Gatwick Airport Shut Down by ‘Deliberate’ Drone Incursions,2018-12-20T08:11:11+0000,The closure which affected tens of thousands of travelers shows how vulnerable airports have become to devices readily available in hobbyist shops.,The New York Times
107,Supercars That Will Still Put a Big Dent in Your Wallet but Not Drain It,2019-02-14T12:00:05+0000,A car more super than the Lamborghini you once pinned to your wall can be had for half of what that Countach cost — obviously not cheap but down from the stratosphere.,The New York Times
108,One Thing You Can Do: Keep Your Old Gadgets Out of the Trash,2019-04-03T16:27:24+0000,Also this week: How it felt to climb a 28-story ladder in pursuit of news. Our reporter was he said “a mess.”,The New York Times
109,Tesla to Investigate Car That Appeared to Burst Into Flames in Shanghai,2019-04-22T12:55:14+0000,The fire involving a Tesla sedan in a parking garage left no one injured the fire department said. The automaker said it had dispatched a team “at once.”,The New York Times
110,Elon Musk Predicts Tesla Driverless Taxi Fleet Next Year,2019-04-22T23:41:59+0000,Mr. Musk said Tesla cars would soon drive themselves and serve as robot taxis. But many experts think autonomous cars are at least several years away.,The New York Times
111,Electronic Marvels Turn Into Dangerous Trash in East Africa,2019-05-12T09:00:11+0000,Companies seek solutions to the unintended consequences of rising wealth that allows for more electronics — and the e-waste that inevitably comes next.,The New York Times
112,Toys Phones and Sneakers: The Chinese Goods Trump Wants to Tax Next,2019-05-13T23:06:43+0000,An escalation of the president’s trade war with China is poised to hit every conceivable consumer product and then some.,The New York Times
113,As Coal Fades in the U.S. Natural Gas Becomes the Climate Battleground,2019-06-26T09:00:10+0000,Utilities are facing a choice: embrace natural gas or shift more aggressively to renewable power? The decision will have a major climate impact.,The New York Times
114,Electric Chargers for the Home Garage,2019-07-11T07:00:07+0000,While additional high-tech roadside charging facilities will make electric driving more practical convenient home equipment sways many to go electric.,The New York Times
115,How to Travel With a Drone,2019-08-13T09:00:11+0000,In the pursuit of epic photos and videos don’t risk fines or getting your drone confiscated.,The New York Times
116,Inside India’s Messy Electric Vehicle Revolution,2019-08-22T09:00:25+0000,A million electric rickshaws sprang up out of nowhere and are now being used by 60 million people a day. The government and vehicle makers are struggling to catch up.,The New York Times
117,Soap Detergent and Even Laxatives Could Turbocharge a Battery Alternative,2019-08-22T15:36:53+0000,Researchers are trying to develop options to lithium-ion and other batteries in a quest for quick bursts of power and extended energy storage.,The New York Times
118,Japan and South Korea Feud but Breaking Up Is Hard,2019-08-28T16:42:57+0000,Tokyo put new trade limits on Seoul and South Korean shoppers are spurning Japanese goods but the ties between the two U.S. allies may be hard to unwind.,The New York Times
119,With a $2 Billion Factory From China a German City Lets Others Worry,2019-09-03T03:00:21+0000,Arnstadt’s embrace of a giant new battery plant for electric cars illustrates Europe’s ambivalence toward Chinese investment: Jobs trump geopolitics.,The New York Times
120,Earth Must Intervene in Space Company Towns,2019-09-09T15:00:05+0000,In the Asteroid Belt exploited miners are working in dangerous conditions.,The New York Times
121,The Concept Cars Gleam but Executive Dread Clouds the Frankfurt Auto Show,2019-09-13T19:59:34+0000,Trade war technology shifts and a global downturn are putting “unprecedented” pressure on automakers. Sustainability is now about survival.,The New York Times
122,Lithium-Ion Batteries Work Earns Nobel Prize in Chemistry for 3 Scientists,2019-10-09T09:50:48+0000,John B. Goodenough M. Stanley Whittingham and Akira Yoshino were recognized for research that has “laid the foundation of a wireless fossil fuel-free society.”,The New York Times
123,Tesla Batteries Investigated for Possible Defects,2019-11-02T01:28:00+0000,The National Highway Traffic Safety Administration is looking into why a number of Tesla vehicles have spontaneously burst into flames.,The New York Times
124,Want the Greenest Device? You May Already Own It,2019-11-20T14:00:10+0000,One way to help the planet is not to buy new tech especially stuff the planet never needed says Kendra Pierre-Louis who reports on the environment.,The New York Times
125,G.M. Venture to Create Ohio Battery Plant and 1100 Jobs,2019-12-05T11:30:10+0000,A deal with LG Chem of South Korea will further the automaker’s plans for electric vehicles and fulfill a pledge made after its Lordstown plant was idled.,The New York Times
126,Knockoff Dyson Vacuum Batteries Are Cheap but They Aren’t Worth the Risk,2020-02-19T00:00:00+0000,If you’re looking to replace the battery pack on your Dyson cordless vacuum we think your best bet is to skip the knockoff packs you can find on Amazon or AliExpress and stick with the genuine Dyson packs—as painfully expensive as they are. We h...,Wirecutter
127,How Our Readers Made Wirecutter Better in April 2020,2020-05-07T00:00:00+0000,It’s been a long month but your comments tweets and emails helped us make it through. From tracking down stock shortages and deals to sharing pro tips and performance feedback on stuff we recommend you’ve been helping us—and each other—every s...,Wirecutter
128,New Breed of Pickups Mixes Horsepower and Battery Power,2020-05-07T10:00:10+0000,Electric Hummers and Cybertrucks as well as the next generation of S.U.V.s will signal the arrival of the E.V. era in America if they start to sell in big numbers.,The New York Times
129,Design Fiction: Real Solutions Unreal Problems,2020-05-29T14:00:15+0000,“Lithopy” a social satire and other futuristic works mark a new direction for digital storytelling.,The New York Times
130,Astronauts Dock With Space Station After Historic SpaceX Launch,2020-05-31T04:24:37+0000,Bob Behnken and Doug Hurley could stay in orbit for months to aid the station’s short-staffed crew.,The New York Times
131,The Next Energy Battle: Renewables vs. Natural Gas,2020-07-06T09:00:25+0000,As coal declines and wind and solar energy rise some are pushing to limit the use of natural gas but utilities say they are not ready to do so.,The New York Times
132,How to Buy Tech That Lasts and Lasts,2020-07-08T14:00:30+0000,All of our tech products will one day become obsolete but here are some strategies to buying gadgets that you can enjoy for many years.,The New York Times
133,U.S. Companies Vie for Funds in Race to Build Rare Earths Industry,2020-08-14T21:29:22+0000,The Trump administration is encouraging development of a domestic industry to produce critical metals now dominated by Chinese companies but few players show clear long-term promise.,The New York Times
134,After 3 Deaths Revel Resumes N.Y.C. Moped Service With Stricter Rules,2020-08-26T23:10:09+0000,The shared moped company is returning to New York City its biggest market and will now be quizzing riders and requiring helmet selfies.,The New York Times
135,The Age of Electric Cars Is Dawning Ahead of Schedule,2020-09-20T18:31:16+0000,Battery prices are dropping faster than expected. Analysts are moving up projections of when an electric vehicle won’t need government incentives to be cheaper than a gasoline model.,The New York Times
136,Are Astronaut-Style Face Shields the Future of P.P.E.?,2020-10-05T09:00:06+0000,They may look high-tech but so far there’s no evidence these devices are more effective than face masks.,The New York Times
137,How Green Is That Electric Car? And When It Hits 100 M.P.H.?,2020-10-15T10:00:07+0000,The Tesla Model S and the Porsche Taycan give environmentally conscious speedsters an outlet for their desires.,The New York Times
138,How Does Your State Make Electricity?,2020-10-28T07:02:20+0000,America isn’t making electricity the way it did two decades ago. Now the future of the nation’s energy mix has become a major election issue.,The New York Times
139,California Is Trying to Jump-Start the Hydrogen Economy,2020-11-11T10:00:32+0000,The fuel could play an important role in fighting climate change but it has been slow to gain traction because of high costs.,The New York Times
140,In Last Rush Trump Grants Mining and Energy Firms Access to Public Lands,2020-12-19T14:25:18+0000,The outgoing administration is pushing through approval of corporate projects over the opposition of environmental groups and tribal communities.,The New York Times
141,The Gospel of Hydrogen Power,2020-12-28T10:00:24+0000,Mike Strizki powers his house and cars with hydrogen he home-brews. He is using his retirement to evangelize for the planet-saving advantages of hydrogen batteries.,The New York Times
142,Small Number of Covid Patients Develop Severe Psychotic Symptoms,2020-12-28T17:03:54+0000,Most had no history of mental illness and became psychotic weeks after contracting the virus. Cases are expected to remain rare but are being reported worldwide.,The New York Times
143,It’s a New Year in the Garden Too: Time for Some Resolutions,2021-01-06T11:00:08+0000,In advance of the growing season it’s helpful for gardeners to acknowledge what went wrong in the previous year and figure out what to do instead.,The New York Times
