idx,headline,date,snippet,source,headline_sentiment,snippet_sentiment
39,Tesla signs deal with Australia’s Kidman Resources,18/05/2018,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,ft,0.0|1.0|0.0|0.0,0.135|0.865|0.0|-0.3612
40,Tianqi readies HK listing ahead of SQM deal,21/08/2018,"For more than a century, Western Australia has yielded a lucrative bounty for gold and iron ore miners. Now, a battery revolution driven by the transition to electric vehicles and energy storage systems is creating a rush to exploit its reserves of lithium, cobalt and nickel.",ft,0.0|1.0|0.0|0.0,0.031|0.872|0.096|0.4404
41,Speed read,23/05/2019,"Elsewhere, such as in the UK, diesel-car demand has slowed. In turn, this shift has refocused attention on low or zero-emission electric vehicles. Those electric vehicles require batteries, and prices of their key inputs — lithium, cobalt, lead and nickel — have soared.",ft,0.0|1.0|0.0|0.0,0.085|0.915|0.0|-0.3818
42,BHP energised to exploit new battery revolution,10/08/2017,Good supply Access to a good supply of raw materials from cobalt to lithium is crucial for Chinese battery makers,ft,0.147|0.526|0.326|0.4019,0.0|0.746|0.254|0.7003
43,Short View,18/01/2018,"President Donald Trump has called for an end to US reliance on foreign sources of “critical minerals” such as the battery metals lithium and cobalt, in a sweeping move that could be a boon to domestic mining companies.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
44,Speed read,06/03/2017,"The second is Aim-quoted Bacanora Minerals, which has heady plans to supply enough lithium to meet a tenth of global demand.",ft,0.0|1.0|0.0|0.0,0.073|0.927|0.0|-0.128
45,US to boost domestic critical mineral supply,22/12/2017,"Lithium, cobalt and nickel prices soar",ft,0.23|0.5|0.27|0.1027,0.0|1.0|0.0|0.0
46,Intoxicating Bacanora aims to give mineral investors a happy buzz,05/09/2016,"How China became the world’s supplier of lithium — BIG READ, PAGE 7",ft,0.0|0.684|0.316|0.5719,0.0|1.0|0.0|0.0
47,Battery power spurs race for raw materials,24/10/2017,Company Turnover Pre-tax EPS(p) Div(p) Pay day TotalBacanora Lithium Pre 0.000 0.000 11.054L 12.846L 0.080L 0.090L0.00000 0.00000 - 0.000 0.000Bioventix Pre 9.290 8.752 6.965 6.867 114.040 110.2100.00000 36.00000 - 30.000 61.000,ft,0.0|1.0|0.0|0.0,0.048|0.952|0.0|-0.1027
48,Batteries included,23/05/2019,Company Turnover Pre-tax EPS(p) Div(p) Pay day TotalBacanora Lithium Int 0.000 0.000 4.291L 3.310L 0.030L 0.030L0.00000 0.00000 - 0.000 0.000Celtic Int 50.015 71.505 18.799 19.510 16.220 18.5700.00000 0.00000 - 0.000 0.000,ft,0.0|1.0|0.0|0.0,0.048|0.952|0.0|-0.1027
49,UK COMPANY RESULTS,22/10/2019,"Electric car batteries rely on a host of materials — from lithium to nickel, cobalt and graphite — while some cars also use motors that require rare earths.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
50,UK COMPANY RESULTS,14/02/2019,"But there has been little research on the environmental impact from the mining of lithium, nickel and cobalt, which are blended with manganese to form the battery cathode in most electric vehicles.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
51,Electric race spurs battery makers to dig deeper,24/10/2017,Mahindra e20 (European model) Length: 3.3m Range: 79 miles Top speed: 63mph 0-50mph: 18 seconds Power source: lithium ion battery,ft,0.0|1.0|0.0|0.0,0.0|0.913|0.087|0.2023
52,Question marks over environmental impact,11/07/2017,"The US and allied countries have launched an international effort to encourage responsible development of materials for new energy technologies, such as lithium, copper and cobalt, as they try to ensure supplies of key resources.",ft,0.0|1.0|0.0|0.0,0.0|0.718|0.282|0.8689
53,Mahindra e20 v G-Wiz,18/07/2016,"at multiyear lows, the raw materials used in smartphones, electric cars and 3D printers — among them lithium, graphite and cobalt for use in batteries",ft,0.0|1.0|0.0|0.0,0.073|0.927|0.0|-0.2023
54,US and allies tackle metals shortage concerns,12/06/2019,Metals in demand Bigger EVs require larger amounts of lithium and cobalt for their batteries,ft,0.25|0.75|0.0|-0.25,0.097|0.903|0.0|-0.128
55,Material revolution,09/12/2015,"As she stepped up to the microphone at Cadogan Hall to introduce a cover of Nirvana’s “Lithium”, her sister Allison Moorer warned that she had no idea what Lynne was going to say.",ft,0.0|1.0|0.0|0.0,0.125|0.875|0.0|-0.5106
56,Speed read,09/11/2017,"If the past month has been a horror story for Samsung Electronics, the past 48 hours have been no less nightmarish for TDK — the Japanese company that produces lithium ion batteries for smartphone manufacturers around the world and whose biggest customer is Apple.",ft,0.0|1.0|0.0|0.0,0.129|0.871|0.0|-0.7096
57,Reviews,03/02/2018,Chile’s buried treasure12 Lithium could be the whitepetroleum of the future – and,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
58,Battery maker TDK left drained by device recall,12/10/2016,"Solid-state batteries offer a step change beyond the current liquid lithium ion technology, with the ability to hold more power and charge faster.",ft,0.263|0.737|0.0|-0.3612,0.0|0.901|0.099|0.3182
59,INDEX,09/07/2016,Wesfarmers/lithium: stored value,ft,0.0|1.0|0.0|0.0,0.0|0.455|0.545|0.34
60,Franco-Japan alliance steps up battery pace,13/03/2018,"This has led them to buy stakes in copper, cobalt and lithium assets in countries as far afield as the Democratic Republic of Congo, Serbia and Chile.",ft,0.0|1.0|0.0|0.0,0.0|0.939|0.061|0.1779
61,Lex.,03/05/2019,"The production of lithium, a key ingredient for batteries in electric cars as well as smartphones, is controlled by just five companies.",ft,0.0|1.0|0.0|0.0,0.0|0.905|0.095|0.2732
62,Chinese groups go where western rivals fear to tread,25/01/2019,"As the mining sector presents a green face and extracts raw materials, from lithium to cobalt and nickel, that constitute electric batteries, so the focus on their environmental standards and energy efficient production methods will intensify.",ft,0.286|0.714|0.0|-0.4939,0.0|0.871|0.129|0.5994
63,Metals are the new black gold as race to control battery resources turns geopolitical,23/05/2018,"resources such as lithium, used in batteries that power everything from phones to cars, make it an attractive target for China’s efforts to extend its reach.",ft,0.0|1.0|0.0|0.0,0.0|0.801|0.199|0.5719
64,Electric car growth sparks green concerns,07/07/2017,"Shenzhen-based lithium battery maker BAK Power has filed a civil suit for breach of contract over outstanding payments, seeking to freeze more than Rmb40m ($5.6m) in assets of Zhejiang province-based Zotye Automobile and three subsidiaries, according to a filing on the Shenzhen Longgang District People’s Court website.",ft,0.0|0.658|0.342|0.3818,0.0|0.859|0.141|0.7096
65,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"Matthey last year announced plans to invest £200m in commercialising a cathode material known as enhanced lithium nickel oxide, or eLNO, which it says has a much higher energy density",ft,0.0|0.78|0.22|0.4767,0.0|0.928|0.072|0.2732
66,Ford’s Chinese electric car partner faces lawsuit over unpaid supplier bills,16/10/2019,"Backed by Albemarle, one of the world’s largest lithium producers, and US utility Exelon, the fund’s ambition is to invest in those companies whose battery technologies will triumph in the global battle to dominate electric cars and energy storage.",ft,0.16|0.84|0.0|-0.2263,0.092|0.766|0.142|0.296
67,Johnson Matthey buoyed by electric cars projection,17/01/2018,"Ingredients in the batteries used in electric vehicles, cobalt and lithium, have had stellar years.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
68,Volta joins battle for battery breakthrough,11/01/2018,"As well as Beijing’s high-profile backing of its domestic battery industry, much of Japan’s urgency, say lithium experts, is driven by the assumption that the fundamental dynamics of the lithium market are poised to change: batteries are about to overtake all other industrial users of the metal as the...",ft,0.342|0.658|0.0|-0.3818,0.0|0.86|0.14|0.6486
69,What to watch in metals during the coming year,22/12/2017,"Your report on Chile’s reserves of lithium (“Chile’s Buried treasure”, July 9/10) was great, but I would quibble with those who call lithium “white petroleum”. Lithium is",ft,0.0|1.0|0.0|0.0,0.0|0.907|0.093|0.3716
70,Japan prepares for a fight it cannot afford to lose,06/03/2017,"The Pallinghurst-Traxys Battery Materials joint venture will look to take controlling stakes in lithium, graphite and cobalt projects in developed countries and invest in associated facilities that process and improve ore.",ft,0.219|0.59|0.19|-0.088,0.0|0.912|0.088|0.4404
71,REPLY,16/07/2016,"The switch will be powered by vehicle batteries, promoted from mere backups to primary power sources. The strain on resources may be huge. Cumulative consumption of lithium, a vital battery material, would total 50m tonnes by 2050 according to a maximal projection",ft,0.0|1.0|0.0|0.0,0.027|0.809|0.164|0.7269
72,Ex-BHP boss to pump $2bn into battery materials mine projects,13/11/2019,"Until they are widely recycled they will rely on cobalt from the Democratic Republic of Congo, lithium from South America and Australia, and copper from Mongolia.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
73,Electric vehicles: assault with battery,27/07/2017,", 14 12 Lithium Lear.........",ft,0.487|0.513|0.0|-0.5859,0.0|1.0|0.0|0.0
74,Miners plug into electric car story to win green investors,30/06/2017,"Golden Globe Awards, by China’s Dalian Wanda was officially canned this month. Similarly the sale to a Chinese buyer of a lithium project in Mali was scrapped in January when capital proved hard to export.",ft,0.0|0.703|0.297|0.5859,0.04|0.876|0.085|0.3818
75,Companies / Sectors / People,09/06/2017,"years, there may only be 10 lithium battery producers left, with the top three taking 60 per cent of the market.”",ft,0.0|1.0|0.0|0.0,0.0|0.917|0.083|0.2023
76,Look elsewhere,16/03/2017,"US and European officials fear that control of the battery market, as well as the associated lithium hydroxide and precursor sectors, could give rivals such as China an edge when it comes to making the next generation of electronic vehicles.",ft,0.0|1.0|0.0|0.0,0.074|0.878|0.048|-0.2732
77,Battery power,06/03/2017,"Among the companies already making plans to be a part of the global shift to electric cars is Bacanora Minerals, a London-listed junior miner with rights to lithium mining sites in Mexico and the German-Czech border.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
78,The global fight to power a cleaner world,30/11/2018,"“It is more strategic than cobalt, more strategic than lithium. You can’t replace copper on conductivity. It is a modern metal,” he said.",ft,0.28|0.538|0.183|-0.2263,0.0|1.0|0.0|0.0
79,Volvo sets date for switching off petrol engines,06/07/2017,"Mr Prince, a campaign adviser to President Donald Trump and brother of US education secretary Betsy DeVos, aims to raise up to $500m to invest in the supply of metals such as cobalt, copper and lithium that are needed for batteries.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
80,Barrick chief eyes moves for ‘strategic’ copper,11/11/2019,"Attention has already been drawn to how lithium ion batteries require cobalt, the biggest reserves of which are in the Democratic Republic of Congo.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
81,Founder of Blackwater to launch battery metals fund,02/01/2019,"10 Drag out scandal involving 5 Cross, discontented underdogTesla CEO? (8) on lithium (4) 45 4612 acrobatics Unqualified ( , 8 I ) got hurt doing 6 supporter Musician is (8 prohibition ) 47",ft,0.0|1.0|0.0|0.0,0.3|0.545|0.155|-0.6486
82,European carmakers risk being left all at sea as they turn towards battery power,08/12/2018,"The buyout has helped CLSA win work on several big initial public offerings from China, such as Xiaomi’s listing in June, and upcoming deals for Sinochem Energy and Tianqi Lithium. It has, however, pulled out of the US.",ft,0.139|0.861|0.0|-0.2732,0.0|0.859|0.141|0.7096
83,CROSSWORD,08/09/2018,The Japanese battery supplier said it did not know how much Cuban cobalt was ultimately used in the lithium ion batteries it supplied to the US market for Tesla “due to commingling of sources by its suppliers in several phases of manufacturing processes”.,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
84,CLSA follows parent Citic into Asian developing markets,13/08/2018,Lithium stocks: salt panned,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
85,Panasonic halts ties with Cuban cobalt supplier over sanctions fear,21/07/2018,The expected electric vehicle boom will only exacerbate these challenges as tech and battery metals like cobalt and lithium experience increased demand.,ft,0.262|0.738|0.0|-0.4939,0.059|0.709|0.232|0.5267
86,Lex.,25/01/2018,"These companies have also locked up supplies of key raw materials such as lithium, signing agreements with mines across the world.",ft,0.0|1.0|0.0|0.0,0.0|0.905|0.095|0.2732
87,Letters,28/11/2017,"The positive electrode, or cathode, is coated in a carefully processed metal oxide slurry that in most cars includes lithium, cobalt, nickel, and manganese. When the battery is discharged lithium ions flow to the cathode generating a flow of electrons and electricity.",ft,0.0|1.0|0.0|0.0,0.0|0.882|0.118|0.6249
88,Europe’s fledgling battery industry should heed the lessons from solar,10/10/2018,56 57 20 Murder victim had tree cut (4) 17 Steward takes lithium to relax21Washes well into the night to (7),ft,0.0|1.0|0.0|0.0,0.318|0.607|0.075|-0.7783
89,The race to replace cobalt,21/08/2018,"industries, which require metals such as aluminium, copper, lithium and cobalt.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
90,"CROSSWORD No. 15,857 Set by ARMONIE 4 5 ...",14/05/2018,"For Helen, lithium is the necessary angel of the title, something to be as much endured as revered, and this theme recurs throughout New Zealand writer CK Stead’s masterfully structured story.",ft,0.268|0.732|0.0|-0.296,0.0|0.901|0.099|0.5106
91,Apple joins push on emission-free aluminium,11/05/2018,"Not surprisingly, carmakers such as Volkswagen are having difficulties locking down metals such as cobalt and lithium.",ft,0.0|1.0|0.0|0.0,0.214|0.786|0.0|-0.4745
92,Life versus literature,10/03/2018,"Electric vehicle batteries need much larger quantities of raw materials than those in smartphones. That is challenging small markets for lithium and cobalt, which have seen big price rises.",ft,0.0|1.0|0.0|0.0,0.0|0.946|0.054|0.1531
93,Cobalt miners poised to play strong hand in price setting,08/12/2017,It produces chemicals and will get the lithium it needs via a joint venture.,ft,0.0|0.355|0.645|0.872,0.0|1.0|0.0|0.0
94,Cobalt traders dismiss VW’s low-price bid to grab supply,16/10/2017,"Metals demand could double because of growth in wind turbines and solar panels and there could be a more than 1,000 per cent rise in lithium demand for batteries, the bank says.",ft,0.0|1.0|0.0|0.0,0.089|0.833|0.077|0.1531
95,BYD: Buffett’s battery bargain,30/08/2017,"According to Christophe Pillot of Avicenne Energy in Paris, global demand for lithium ion batteries for vehicles will grow from $15bn last year to $28bn in 2020 and $38bn in 2025.",ft,0.0|0.625|0.375|0.2023,0.046|0.89|0.064|0.1531
96,World Bank flags up renewables resource risks,18/07/2017,"With Europe’s largest known deposit of lithium, the key chemical for batteries, the region has the chance to be a “hotbed for future technologies”, he says.",ft,0.259|0.741|0.0|-0.2732,0.0|0.923|0.077|0.25
97,Why European carmakers are not yet betting their own money on batteries,15/07/2017,The storage capacity of big lithium ion battery systems more than doubled last year.,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
98,German tortoise joins electric-car race,23/05/2017,"Pieter Busscher, who manages the Smart Materials Strategy fund at asset manager RobecoSAM in Zurich, says that miners of lithium — the raw",ft,0.0|1.0|0.0|0.0,0.0|0.794|0.206|0.6369
99,The Big Green Bang,19/05/2017,"The changing dynamic could yet make silver one of the few commodities that benefits from the rollout of renewable energy, along with copper for wiring and lithium for use in grid batteries.",ft,0.0|1.0|0.0|0.0,0.0|0.799|0.201|0.743
100,Investors grapple with the great resource shift,18/08/2016,"Lithium, the world’s lightest metal, remains a popular ingredient, with lithium-oxygen and lithium-sulphur batteries showing good results in lab tests. Magnesium-ion is another option.",ft,0.0|0.594|0.406|0.6249,0.0|0.787|0.213|0.6908
101,Silver investors look for solar energy spark,14/05/2016,"While the rightwing UDI party has been deeply damaged by a campaign finance scandal, after politicians invoiced lithium producer SQM and financial group Penta for services that were never provided, Ms Bachelet’s credibility has also been severely dented by accusations that her son and daughter-in-law abused their political influence...",ft,0.0|0.556|0.444|0.4588,0.247|0.707|0.045|-0.8999
102,Search for the supercharger Batteries and energy storage,27/06/2015,The initiative stretches from mining and refining the raw materials such as lithium to manufacturing and recycling batteries.,ft,0.0|0.769|0.231|0.2732,0.0|1.0|0.0|0.0
103,Political scandals put brake on reform agenda,28/04/2015,"Chief in its arsenal was a new battery, made with solid state lithium ion, that would give its car greater performance, longer range and faster charging than even the most advanced electric cars on the market, which use liquid-based batteries.",ft,0.348|0.652|0.0|-0.4939,0.0|0.849|0.151|0.659
104,Powering up the industrial base,03/12/2019,Prof Whittingham started off the development of lithium batteries in the early 1970s as a scientist at Exxon in the US but the project was discontinued when the oil company cut back its research activities in the early 1980s.,ft,0.0|1.0|0.0|0.0,0.067|0.933|0.0|-0.3919
105,Clever car hopes expire for Dyson,12/10/2019,"A strong European electric car market would also be a relief for investors, following falls in share prices for almost all companies involved in the battery supply chain this year — from battery materials producer Umicore, to cobalt miners such as Glencore, and lithium producers such as Albemarle.",ft,0.0|0.408|0.592|0.7003,0.0|0.83|0.17|0.8225
106,Goodenough at 97 to win Nobel Prize for work on mobile battery technology,10/10/2019,"The company calculates that powering 1tn wireless sensor nodes, each using a small lithium coin cell, would require approximately 109,000 tonnes of lithium — nearly three times worldwide annual production. “Energy harvesting is simply a necessity if a large population of IoT devices is to be powered,” he says.",ft,0.0|0.608|0.392|0.7964,0.0|1.0|0.0|0.0
107,Europe’s big batteries push promises relief at last for investors,25/09/2019,His company Berkshire Hathaway is discussing an agreement to extract $1.5bn of lithium each year from geothermal wells in California for use in vehicle batteries. Lithium is less scarce than palladium but the US still listed it last year as one of 35 minerals “vital to the nation’s security”.,ft,0.0|0.584|0.416|0.6908,0.0|0.929|0.071|0.3818
108,Internet of things sparks race to replace the battery,08/07/2019,The price of lithium has more than halved in China this year while cobalt prices are down about 10 per cent. That has hit share prices of the largest producers with Chile’s lithium giant SQM down 31 per cent this year and cobalt producer China Molybdenum off by 40...,ft,0.0|1.0|0.0|0.0,0.0|0.956|0.044|0.296
109,Palladium’s paradise risks losing its lustre,24/01/2019,"The growth in electric car numbers will also accelerate the race to buy batteries, with Daimler and VW already pledging to spend €70bn. As others step up investments, the price of raw materials such as lithium and cobalt looks set to rise.",ft,0.395|0.252|0.353|0.128,0.0|0.94|0.06|0.3818
110,Niche bets on Burgundy wine and cannabis pay off,29/12/2018,"The company has lowered battery prices to gain market share following the subsidy reduction, reducing profitability, founder Zeng Yuqun said last month. Rising costs of battery materials such as lithium lowered CATL’s margins",ft,0.149|0.851|0.0|-0.1027,0.078|0.724|0.199|0.6908
