,headline,date,snippet,source,headline_sentiment,snippet_sentiment
11,RPT-COLUMN- Green technology revolution needs a green metals revolution: Andy Home,06/11/2019,"the world, protesters were blocking accessroads to SQM's lithium of the environmental costsof mining. Protests such as those at SQM's",reuters,0.0|1.0|0.0|0.0,0.274|0.726|0.0|-0.6597
12,Livent CEO sees 'difficult environment' for lithium producers,06/11/2019,"to boost short-term revenue, Graves said, without elaborating. Rivals SQM",reuters,0.263|0.737|0.0|-0.3612,0.171|0.62|0.209|0.128
13,Green technology revolution needs a green metals revolution: Andy Home,06/11/2019,access roads to SQM's lithium operations high in Chile's Atacama of mining. Protests such as those at SQM's lithium mines in Chile,reuters,0.0|1.0|0.0|0.0,0.083|0.917|0.0|-0.2263
14,COLUMN- Green technology revolution needs a green metals revolution: Andy Home,06/11/2019,blocking accessroads to SQM's lithium operations high in Chile's Atacamaof mining. Protests such as those at SQM's lithium mines inChile,reuters,0.0|1.0|0.0|0.0,0.2|0.8|0.0|-0.5423
15,'So much damage': Chile protests flare back up as reforms fall short,30/10/2019,access to lithium miner SQM's operations in the Atacama salt flat. SQM declined to comment on the impacts of the blockade. (Reporting,reuters,0.147|0.853|0.0|-0.2263,0.0|1.0|0.0|0.0
16,"Stung by sliding prices, lithium industry pares back expansions",28/10/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp, SQM and other lithium rival SQM, the world's second-largest lithium producer, is delaying",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
17,"LME WEEK-Stung by sliding prices, lithium industry pares back expansions",28/10/2019,"By Ernest ScheyderOct 28 (Reuters) - Albemarle Corp, SQM andother.AUTOMAKERS PUSH AHEADSantiago-based rival SQM, the world's second",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
18,Chile protesters block access to lithium operations: local leader,25/10/2019,"to the world's top two lithium producers: Chile's SQM  and U.S Indigenous Council, told Reuters a road blockade had shut down SQM's",reuters,0.407|0.593|0.0|-0.5859,0.0|0.917|0.083|0.2023
19,Chile protesters block access to lithium operations - local leader,25/10/2019,"to the world's top two lithiumproducers: Chile's SQM and U.S.-based, told Reuters a road blockade had shut down SQM'soperations since",reuters,0.407|0.593|0.0|-0.5859,0.0|0.909|0.091|0.2023
20,Tianqi Lithium has first loss in 5-1/2 years as lithium prices crash,22/10/2019,"* Lithium prices fall sharply; firm also blames SQM loans* Full-year profit of Chilean lithiumproducer SQM, processes spodumene, a mineral mined",reuters,0.333|0.667|0.0|-0.6124,0.119|0.752|0.128|0.0516
21,Russia's Rosatom may buy controlling stake in Chile lithium project,15/10/2019,"salt flat, home to leading lithium producers SQM ",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
22,AWC raises $1.57 billion in Thailand's largest corporate listing,27/09/2019,"and increases retail space to 415,000 square meters from 165,000 sqm over",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
23,"Chile taps China, Japan in lithium-for-tech push; faces tough sell",17/09/2019,"to purchase a quarter stake in top Chilean lithium miner SQM.Chile is home to half of the world's lithium reserves, with both SQM and U.S-based",reuters,0.143|0.857|0.0|-0.128,0.0|0.927|0.073|0.2023
24,Chilean lithium producer SQM bullish on white gold demand; shares rise,11/09/2019,producer SQM jumped on Wednesday after it announced plans to invest about shares in SQM were up more than 5% in trading on Santiago's blue-chip,reuters,0.118|0.709|0.173|0.1779,0.0|0.916|0.084|0.296
25,Asset World aims to raise up to $1.6 billion in Thailand's biggest corporate listing,11/09/2019,"(sqm) to 415,481 sqm by 2025.""Momentum is strong in such a low yield",reuters,0.0|0.839|0.161|0.3612,0.136|0.649|0.214|0.296
26,Chile's Codelco to decide by early 2020 on Maricunga lithium project,30/08/2019,"budged inrecent years.Chile's two lone producers, SQM and Albemarle Corp of the sprawling Salar de Atacama in northernChile, home to SQM and Albemarle",reuters,0.0|1.0|0.0|0.0,0.087|0.913|0.0|-0.2732
27,Chilean miner SQM profits plunge alongside lithium price,22/08/2019,"By Dave Sherwood SANTIAGO (Reuters) - SQM, the world's No. 2 of the pessimistic outlook for prices sent B-shares in SQM  down 6.6",reuters,0.0|0.707|0.293|0.4404,0.198|0.802|0.0|-0.5719
28,"China's Tianqi Lithium first-half net profit slumps, clinches LG Chem supply deal",22/08/2019,"SQM. China is the world's largest lithium consumer, accounting",reuters,0.0|0.791|0.209|0.4404,0.0|1.0|0.0|0.0
29,"China's Tianqi Lithium H1 net profit slumps, clinches LG Chem supply deal",22/08/2019,"miner SQM.China is the world's largest lithium consumer, accounting",reuters,0.0|0.791|0.209|0.4404,0.0|1.0|0.0|0.0
30,Chile's SQM profits plummet on falling lithium prices,22/08/2019,"By Dave SherwoodSANTIAGO, Aug 22 (Reuters) - Chile's SQM on prices.""SQM said its lithium sale price in the third quarter waslikely",reuters,0.152|0.571|0.276|0.3182,0.0|1.0|0.0|0.0
31,China's Ganfeng closes deal to raise stake in Argentina lithium project,18/08/2019,"in the Cauchari-Olaroz project fromChile's Sociedad Quimica y Minera, or SQM",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
32,Chile's Codelco announces joint lithium project with Salar Blanco,01/08/2019,"to top lithium producers Albemarle and SQM, but Salar Blanco has",reuters,0.0|1.0|0.0|0.0,0.0|0.877|0.123|0.1027
33,Sweden seeks lithium tie-ups in South America amid 'white gold' rush,17/07/2019,taken a major stake in Chilean miner SQM . Germany has,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
34,RPT-FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,"LikeAlbemarle, the nation's other big lithium miner, SQM,has struggled and offeringdiscounted lithium from SQM for companies willing to buildplants",reuters,0.0|0.762|0.238|0.3612,0.118|0.882|0.0|-0.34
35,How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,"Albemarle, the nation's other big lithium miner, SQM, has struggled for early 2020 and offering discounted lithium from SQM for companies",reuters,0.0|0.762|0.238|0.3612,0.106|0.841|0.053|-0.296
36,FOCUS-How lithium-rich Chile botched a plan to attract battery makers,17/07/2019,"on those riches. LikeAlbemarle, the nation's other big lithium miner, SQM 2020 and offeringdiscounted lithium from SQM for companies willing",reuters,0.0|0.762|0.238|0.3612,0.0|0.848|0.152|0.5267
37,Chile's Zaldivar mine asks for more time to answer questions amid Atacama water concerns,25/06/2019,""" The Atacama salt flat is home to lithium miners SQM and Albemarle Corp",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
38,RPT-COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"plans.Chile's SQM, for example, has pushed back anexpansion of its",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
39,COLUMN-Boom-and-bust lithium market needs a pricing rethink: Andy Home,24/06/2019,"are putting thebrakes on their growth plans.Chile's SQM, for example, has",reuters,0.0|1.0|0.0|0.0,0.0|0.794|0.206|0.3818
40,Albemarle details efforts to boost its Chilean lithium output by 30 percent,11/06/2019,ponds to produce lithium. Rival SQM has also said that the rains had,reuters,0.0|0.803|0.197|0.4019,0.0|1.0|0.0|0.0
41,Albemarle declines to participate in LME lithium contract,11/06/2019,"spoke on a panel presentation alongside executives from rivals SQM of how the lithium industry works,"" Pablo Altimiras, SQM's vice president",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
42,Chile to clean up rules for lithium industry to boost production,11/06/2019,´s production of the ultralight metal. Top producers SQM and Albemarle,reuters,0.0|0.625|0.375|0.6597,0.0|0.847|0.153|0.2023
43,Chile to push both private and public investment in lithium,11/06/2019,Chilerelies entirely on top producers SQM and AlbemarleCorp,reuters,0.0|1.0|0.0|0.0,0.0|0.771|0.229|0.2682
44,Tianqi says happy 'for now' with stake in SQM: president,10/06/2019,for now with its stake in rival SQM and is working to deepen business in SQM from Canadian fertilizer company Nutrien for $4.1 billion,reuters,0.0|0.709|0.291|0.5719,0.0|1.0|0.0|0.0
45,Tianqi says happy 'for now' with stake in SQM -president,10/06/2019,with its stake in Chilean lithiumproducer SQM and is working to deepen last December bought a 23.77 percent share in SQMfrom Canadian,reuters,0.0|0.709|0.291|0.5719,0.0|0.901|0.099|0.296
46,How much does lithium cost? The industry can't seem to agree,09/06/2019,"is there.""SQM, which eschews long-term contracts, said its first-quarter.Since January, SQM's shares are down 19 percent and Livent's shares",reuters,0.174|0.826|0.0|-0.2755,0.0|0.794|0.206|0.5267
47,"Chile, once the world's lithium leader, loses ground to rivals",30/05/2019,"budged in recent years. Chile's two lone producers, SQM and Albemarle metals are being exploited.""Santiago-based SQM saw its stock dive more",reuters,0.204|0.796|0.0|-0.3182,0.095|0.905|0.0|-0.2732
48,BRIEF-LPP Q1 Net Loss Widens To 114.6 Mln Zlotys,28/05/2019,"SPACE WAS 1.0 MLN SQM, UP 8.4% YOY* Q1 GROSS MARGIN 43.4%, DOWN 1.7",reuters,0.223|0.777|0.0|-0.3182,0.228|0.772|0.0|-0.5904
49,METALS-Copper rises but heading for 6th week of declines,24/05/2019,"and challenging.* SQM: Chile's SQM, the world's No. 2 producer oflithium",reuters,0.0|1.0|0.0|0.0,0.196|0.804|0.0|-0.296
50,METALS-Copper rebounds from more than 4-month low as dollar eases,23/05/2019,"at 20,000 yuan a tonne.* Chile's SQM, the world's No. 2 producer",reuters,0.187|0.632|0.182|-0.0164,0.196|0.804|0.0|-0.296
51,Chile lithium producer SQM delays Atacama expansion amid price slump,23/05/2019,"By Dave Sherwood SANTIAGO (Reuters) - Chile's SQM, the world's No. 2 are going as fast as we can.""Series-B shares in SQM fell as much",reuters,0.0|1.0|0.0|0.0,0.087|0.827|0.087|0.0
52,"Chilean lithium producer SQM's profits fall on lower prices, higher royalties",23/05/2019,"By Dave SherwoodSANTIAGO, May 23 (Reuters) - SQM, the world's No.2 metal and a spike in royalties at itsoperations in Chile.SQM",reuters,0.156|0.638|0.206|0.1779,0.0|1.0|0.0|0.0
53,RPT-Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,05/05/2019,"makerSociedad Quimica y Minera de Chile S.A. (SQM).But even partner SQM or an outside party, is real,""said JPMorgan.Kidman",reuters,0.0|1.0|0.0|0.0,0.0|0.856|0.144|0.4019
54,Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,03/05/2019,"with battery chemicals maker Sociedad Quimica y Minera de Chile S.A. (SQM joint venture partner SQM or an outside party, is real,"" said JPMorgan",reuters,0.0|1.0|0.0|0.0,0.0|0.891|0.109|0.4019
55,Wesfarmers bets on electric cars with $544 million bid for Australian lithium miner Kidman,02/05/2019,"Minera de Chile S.A. (SQM), said the deal has the potential",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
56,Royalties for lithium to be set case by case in Chile: minister,30/04/2019,flat.State development agency Corfo struck deals with top miners SQM,reuters,0.0|1.0|0.0|0.0,0.169|0.678|0.153|-0.0516
57,Royalties for lithium to be set case by case in Chile -minister,30/04/2019,minersSQM and Albemarle in previous years that set asliding scale,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
58,METALS-Shanghai aluminium hits 4-1/2-month high on improved China outlook,17/04/2019,Chileans and a U.S. businessmanto the board of lithium miner SQM,reuters,0.0|0.721|0.279|0.4767,0.0|1.0|0.0|0.0
59,China's Tianqi taps 'safe choices' for board of top lithium miner SQM,17/04/2019,"to the board of lithium miner SQM, candidates seen as 'safe choices.Tianqi last year paid $4.1 billion for a near-quarter stake in SQM",reuters,0.0|0.68|0.32|0.5719,0.0|0.879|0.121|0.4404
60,"China's Tianqi Lithium to nominate two Chileans, U.S. executive to SQM board",17/04/2019,"producer SQM, in which itowns a near-24 percent stake.Tianqi has lithium producer in its 2018 purchase ofthe SQM stake, it said",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
61,CRU-CESCO-Copper industry to see more disruptions in 2019 -Antofagasta CEO,12/04/2019,"theAtacama salt flat, home to top lithium producers SQMand Albemarle",reuters,0.23|0.77|0.0|-0.4005,0.0|0.833|0.167|0.2023
62,China's Tianqi agrees truce in battle over Chilean lithium miner SQM,11/04/2019,"has come to an agreement over the governance of Chilean miner SQM billion purchase of a 23.77 percent stake in SQM, which mines lithium used",reuters,0.194|0.672|0.134|-0.2023,0.0|0.878|0.122|0.4939
63,Chile launches tender for value-added lithium projects,25/03/2019,discounted Chilean lithium provided by top miner SQM. Chilean authorities struck a deal in January 2018 with SQM that ended a long-running,reuters,0.0|1.0|0.0|0.0,0.091|0.773|0.136|0.0
64,Miner Antofagasta expects water agreement with BHP for Zaldivar mine-media,22/03/2019,lithium producers SQM and Albemarle.Chilean regulators last year,reuters,0.0|0.738|0.262|0.4939,0.0|1.0|0.0|0.0
65,Tennis: New French Open court unveiled as prize money increases,21/03/2019,"expansion has added more than 1,300 sqm of greenhouses to the existing",reuters,0.0|0.732|0.268|0.5106,0.0|1.0|0.0|0.0
66,SQM receives Chile's approval for lithium plant expansion,14/03/2019,"SANTIAGO (Reuters) - Chilean lithium miner SQM on Thursday received allow the Chinese-backed SQM to eventually produce as much as 180,000",reuters,0.0|0.693|0.307|0.4767,0.0|0.909|0.091|0.2263
67,Chile's SQM receives approval for lithium plant expansion -govt,14/03/2019,"SANTIAGO, March 14 (Reuters) - Chilean lithium miner SQMon Thursday, would allowthe Chinese-backed SQM to eventually produce as much",reuters,0.0|0.721|0.279|0.4767,0.0|1.0|0.0|0.0
68,"Ford chairman praises CEO, mulls lithium venture",12/03/2019,and SQM are the world's largest lithium producers. Ford also said he,reuters,0.0|0.638|0.362|0.5267,0.0|1.0|0.0|0.0
69,"China's Tianqi Lithium to name 'fair, responsible' directors for SQM board",08/03/2019,"to appoint three members to the board ofChilean miner SQM who will be ""fair stake inSQM, the world's second-biggest producer of lithium, a metal",reuters,0.0|0.813|0.187|0.3182,0.0|0.905|0.095|0.3182
70,RPT-INSIGHT-Codelco’s lithium push fades in favor of copper,05/03/2019,SQM and Albemarle.Authorities are weighing water conservation measures,reuters,0.0|0.722|0.278|0.4019,0.0|1.0|0.0|0.0
71,Codelco's lithium push fades in favor of copper,05/03/2019,producers SQM and Albemarle. Authorities are weighing water conservation,reuters,0.0|0.722|0.278|0.4019,0.0|1.0|0.0|0.0
72,INSIGHT-Codelco’s lithium push fades in favor of copper,05/03/2019,producers SQM and Albemarle.Authorities are weighing water,reuters,0.0|0.722|0.278|0.4019,0.0|1.0|0.0|0.0
73,"EMERGING MARKETS-Latam FX range bound in holiday trading, rating risk weighs on Mexico",04/03/2019,by lithium producer SQM after a brokeragecut price targets,reuters,0.133|0.696|0.171|0.1531,0.0|1.0|0.0|0.0
74,Chilean miner SQM sees uncertain short-term demand for lithium,28/02/2019,") - Chilean miner SQM said onThursday it foresees strong long-term demand.He said SQM would increase its production of 50,000 metrictonnes (MT",reuters,0.346|0.654|0.0|-0.4019,0.0|0.763|0.237|0.6808
75,Livent's lithium woes in China cloud industry outlook,12/02/2019,"Rivals Albemarle Corp, SQM and Orocobre Ltd - all of which sell",reuters,0.293|0.707|0.0|-0.4404,0.0|1.0|0.0|0.0
76,"Contradicting Trump, Merkel says Islamic State not defeated",08/02/2019,"some 260,000 sqm of office space. (Additional reporting by Sabine Siebold, Editing by William Maclean)",reuters,0.212|0.553|0.235|0.0654,0.0|1.0|0.0|0.0
77,METALS-London copper rises after miner forecasts lower output,24/01/2019,changes that boosted efficiency. * SQM: Chile's SQM late on Wednesday,reuters,0.239|0.761|0.0|-0.296,0.0|0.615|0.385|0.6124
78,Chile lithium miner SQM moves to safeguard secrets from China's Tianqi,24/01/2019,"By Dave SherwoodSantiago, Jan 24 (Reuters) - Chile's SQM late bought a 23.77 percent sharein SQM from Canadian fertilizer company",reuters,0.0|0.794|0.206|0.3818,0.0|1.0|0.0|0.0
79,Potential Berkshire U.S. lithium project faces uphill road,22/01/2019,producers Albemarle Corp and SQM.A project of such magnitude could,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
80,Exclusive: Chile nuclear watchdog weighs probe into fraud over lithium exports - documents,15/01/2019,"and SQM  between 1984 and 2015, suggesting the agency investigation, which expands on a 2016 audit of SQM's 2010-2015 sales",reuters,0.248|0.654|0.098|-0.5106,0.0|0.928|0.072|0.1027
81,EXCLUSIVE-Chile nuclear watchdog weighs probe into fraud over lithium exports -documents,15/01/2019,"lithium producersAlbemarle Corp and SQM between1984 and 2015 of the two-year investigation, which expands ona 2016 audit of SQM's",reuters,0.275|0.725|0.0|-0.5859,0.0|0.928|0.072|0.1027
82,"EXPLAINER-SQM and Chile reach lithium deal, but Atacama water woes continue",09/01/2019,"(Adds comment from SQM in final paragraph)By Dave SherwoodSANTIAGO a $25 million compliance plan by lithiumminer SQM, ending a multi",reuters,0.277|0.647|0.076|-0.5859,0.0|1.0|0.0|0.0
83,Chilean regulator fines Itau Corpbanca over SQM-linked loans,08/01/2019,lithium producer SQM .The Superintendency of Banks and FinancialCorpbanca had granted excessive loans to SQMholding companies Norte,reuters,0.0|1.0|0.0|0.0,0.0|0.889|0.111|0.25
84,"EMERGING MARKETS-Latam currencies mixed, Brazil stocks retreat from record highs",07/01/2019,from lithium producers Albemarle and SQMas statistics showed Chile's,reuters,0.0|0.833|0.167|0.2023,0.0|1.0|0.0|0.0
85,Chile okays lithium miner SQM's plan to remedy water violations,07/01/2019,"regulator on Monday approved a $25 million compliance plan by SQM, ending extraction of brine.The decision is unlikely to have a major impact on SQM's",reuters,0.234|0.552|0.214|-0.0772,0.0|0.887|0.113|0.4215
86,Chile okays lithium producer SQM's plan to remedy water violations,07/01/2019,"lithiumproducer SQM, ending a multi-year investigation by Chileanauthorities that found SQM had overdrawn lithium-rich brine fromthe Atacama",reuters,0.234|0.552|0.214|-0.0772,0.0|1.0|0.0|0.0
87,"Chilean lithium exports continue rise, to $949 mln in 2018 - central bank",07/01/2019,reserves.Top lithium producers Albemarle and SQM have both signeddeals,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
88,EMERGING MARKETS-Latam currencies rise; Brazil stocks hit all-time high,03/01/2019,by a decline in the shares of lithium producer SQM which slid to its lowest,reuters,0.0|1.0|0.0|0.0,0.155|0.714|0.131|-0.1027
89,EMERGING MARKETS-Latam currencies mixed; Brazil stocks end 2018 on high note,28/12/2018,"SQM andLATAM Airlines, and fears about global economic growth",reuters,0.0|1.0|0.0|0.0,0.226|0.565|0.21|-0.0516
90,Russia's Rosatom tells Chile it can help boost lithium output,27/12/2018,"be willing to introduce it for projects operated by SQM, Albemarle filings.SQM and Albemarle, which operate in Chile's lithium-rich Atacama",reuters,0.0|0.597|0.403|0.6597,0.0|1.0|0.0|0.0
91,Orocobre price warning drags down lithium stocks,20/12/2018,"producer - fell more than 5 percent. Chile's SQM , the no.2",reuters,0.451|0.549|0.0|-0.4767,0.0|1.0|0.0|0.0
92,"Australia's Kidman Resources, LG Chem ink lithium hydroxide deal",18/12/2018,"Kidman andChile's SQM.On Dec. 10, Kidman said it had settled a court",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
93,METALS-London metals claw back ground on softer dollar,10/12/2018,"SQM. * For the top stories in metals and other news, click",reuters,0.0|1.0|0.0|0.0,0.0|0.847|0.153|0.2023
94,Deals of the day-Mergers and acquisitions,10/12/2018,"investing in Chile's lithium miner SQM will bring""long-term benefits",reuters,0.0|1.0|0.0|0.0,0.0|0.755|0.245|0.3818
95,Tesla lithium supplier Kidman settles ownership row over Australian mine,09/12/2018,Australian with Chile's SQM. In a statement announcing the settlement. The settlement unlocks payments by SQM that had been on ice during the dispute,reuters,0.0|1.0|0.0|0.0,0.109|0.891|0.0|-0.4019
96,China's Tianqi says stake in Chile lithium miner SQM good for both firms,09/12/2018,"miner SQM will bring ""long-term benefits"" for both companies, despite week, Tianqi bought a 23.77 percent share in SQM from Canadian",reuters,0.0|0.805|0.195|0.4404,0.0|0.789|0.211|0.5859
97,METALS-Copper prices ease on trade truce doubts,03/12/2018,percent share in Chilean lithium miner SQM from Canadian fertilizer giant,reuters,0.227|0.515|0.258|0.0772,0.0|0.82|0.18|0.296
98,China Stocks-Factors to watch on Tuesday,03/12/2018,* Tianqi buys stake in lithium miner SQM from Nutrien for$4.1 bln,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
99,Tianqi buys stake in lithium miner SQM from Nutrien for $4.1 billion,03/12/2018,"lithium miner SQM  from Canadian fertilizer giant Nutrien to electric vehicles.""A minority stake in SQM is great from our perspective",reuters,0.0|1.0|0.0|0.0,0.0|0.823|0.177|0.6249
100,CANADA STOCKS-TSX futures higher on U.S.-China trade truce,03/12/2018,"in Chile's SQM on Monday, thefinal step in completing the sale",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
101,China's Tianqi purchases quarter stake in lithium miner SQM for $4.066 billion,03/12/2018,percent stake in Chile lithium producer SQM for a total package price,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
102,Nutrien to auction stake in lithium miner SQM for over $4 billion,03/12/2018,"giantNutrien is set to auction its 23.77 percent share inChile's SQM nearly a quarter of SQM from Nutrien,which must offload the stake",reuters,0.0|1.0|0.0|0.0,0.0|0.901|0.099|0.296
103,Nutrien to auction stake in lithium miner SQM on December 3,28/11/2018,Nutrien will auction its 23.77 percent share in Chile´s SQM on Dec. 3. The company struck a deal earlier this year to buy nearly a fourth of SQM,reuters,0.0|1.0|0.0|0.0,0.071|0.851|0.078|0.0516
104,Nutrien to auction stake in lithium miner SQM on Monday,28/11/2018,"will auction its 23.77 percent share in Chile´sSQM on Dec. 3, the Chilean ofSQM from Nutrien.(Reporting by Dave SherwoodEditing by Bill Trott)",reuters,0.0|1.0|0.0|0.0,0.0|0.905|0.095|0.296
105,SQM's lithium sales volumes drop 27 pct after production delay,22/11/2018,") - Chilean miner SQM said onThursday that delays in a project to boost.SQM , the world's No. 2 producer oflithium, said the previously",reuters,0.355|0.645|0.0|-0.5267,0.109|0.891|0.0|-0.296
106,"EMERGING MARKETS-LatAm stocks, currencies down as tepid investor appetite weighs",20/11/2018,percent slide in lithium producer SQM's securities weighed heavily,reuters,0.0|1.0|0.0|0.0,0.0|0.784|0.216|0.296
107,Chilean regulators reject Albemarle's plans to boost lithium output,13/11/2018,in its resolution.Plans by Albemarle and top competitor SQM,reuters,0.218|0.565|0.218|0.0,0.0|0.816|0.184|0.2023
108,RPT-FOCUS-Build it and they will come: Thai developers pour billions into retail,11/11/2018,-squaremeter (sqm) complex sits on the banks of Bangkok's Chao Praya currently has 7.5 million sqm of retail space withanother million,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
109,Build it and they will come: Thai developers pour billions into retail,09/11/2018,meter (sqm) complex sits on the banks of Bangkok's Chao Praya River). Bangkok currently has 7.5 million sqm of retail space with another,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
110,FOCUS-Build it and they will come: Thai developers pour billions into retail,09/11/2018,"Iconsiam, a half-million-squaremeter (sqm) complex sits on the banks (Thailand).Bangkok currently has 7.5 million sqm of retail space",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
111,Albemarle's claim to unique lithium technology draws scrutiny,07/11/2018,"producer to smaller rivals including Chile's own SQM . Indeed, rivals in Argentina, including Livent",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
112,Canada's Nutrien eyeing expansion of nitrogen plants as prices climb,06/11/2018,expects to close the sale of its stake in Chilean lithium producer SQM,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
113,BRIEF-Kuehne Und Nagel International Signs Contract For Build-To-Suit Facility In Johannesburg,06/11/2018,THE CONTRACT FOR A 12.000 SQM BUILD-TO-SUITFACILITY INJOHANNESBURGSource,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
114,Lithium miner SQM shares climb after Chile court rejects appeals,31/10/2018,"SANTIAGO, Oct 31 (Reuters) - Shares of Chilean lithium minerSQM offer to buy a stake inSQM, the world's No. 2 lithium producer.SQM B",reuters,0.239|0.597|0.164|-0.25,0.103|0.794|0.103|0.0
115,Chile's antitrust court rejects appeals against Tianqi deal,30/10/2018,"002466.SZ> $4.1 billion purchase of a stake in lithium producer SQM < of Chile's SQM, the world's No.2 lithium miner, as Beijing promotes",reuters,0.314|0.686|0.0|-0.4939,0.0|0.893|0.107|0.34
116,"Lithium miner SQM shares up 2.7 pct, Chile court clears way for Tianqi stake purchase",26/10/2018,"SANTIAGO, Oct 26 (Reuters) - Shares in lithium miner SQMjumped 2.7 of a stake in the Chileanlithium miner.SQM's B-series shares touched",reuters,0.0|0.788|0.212|0.3612,0.0|0.794|0.206|0.5267
117,"METALS-London copper retreats, heads for 2nd straight weekly drop",25/10/2018,"SQM, all but clearing the way for thetransaction to close",reuters,0.191|0.636|0.173|-0.0516,0.0|1.0|0.0|0.0
118,Chilean court rejects lawsuit to block SQM stake sale to Tianqi,25/10/2018,miner Tianqi's purchase of a stake in Chilean lithium miner SQM percent holding in world No. 2 lithium miner SQM ,reuters,0.5|0.5|0.0|-0.7906,0.115|0.885|0.0|-0.296
