idx,headline,date,snippet,source,headline_sentiment,snippet_sentiment
15,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi already owns a 51 per cent stake in the Greenbushes mine in Australia, with US lithium producer Albemarle owning the rest. It also owns lithium assets in Sichuan and Tibet.",ft,0.0|1.0|0.0|0.0,0.0|0.945|0.055|0.1779
16,BlackRock bets big on lithium’s electric-car future,16/09/2017,"Lithium production is currently dominated by four large players, Chile’s SQM, FMC, Albemarle and Tianqi Lithium. But a host of smaller companies are racing to bring supply to the market and get their material approved for use in batteries.",ft,0.0|1.0|0.0|0.0,0.0|0.909|0.091|0.5719
17,Short View,18/01/2018,"The Solactive Global Lithium index not only has lithium makers such as US listed Albemarle and FMC Corp, it also contains car-makers Tesla and BYD.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
18,Evonik eyes takeover bid for Clariant,27/03/2015,acquisition of speciality chemical maker Taminco for $1.8bn. That followed Albemarle’s $6.2bn takeover of lithium specialist Rockwood.,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
19,Europe’s big batteries push promises relief at last for investors,25/09/2019,"A strong European electric car market would also be a relief for investors, following falls in share prices for almost all companies involved in the battery supply chain this year — from battery materials producer Umicore, to cobalt miners such as Glencore, and lithium producers such as Albemarle.",ft,0.0|0.584|0.416|0.6908,0.0|0.83|0.17|0.8225
20,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"It also required Tianqi to tell regulators about future lithium deals struck with SQM or Albemarle, its main rival, a sign of scepticism about the influence wielded by Chinese companies in critical industries.",ft,0.0|0.78|0.22|0.4767,0.174|0.826|0.0|-0.6249
21,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"Sociedad Química y Minera de Chile (SQM) accounts for more than 20 per cent of the world’s lithium supply, making it one of five companies that dominate the global market alongside China’s Ganfeng, Tianqi Lithium, FMC and Albemarle.",ft,0.0|0.769|0.231|0.4588,0.04|0.96|0.0|-0.128
22,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"The growing anxiety about supply comes as the production of lithium remains dominated by a handful of companies: Albemarle, Sociedad Química y Minera de Chile, and Chinese producers Tianqi Lithium and Ganfeng Lithium, which produce from Australia.",ft,0.342|0.658|0.0|-0.3818,0.047|0.907|0.047|0.0
23,Obama leaves a case of environmental whiplash for carmakers and Trump,10/12/2016,"One industry is quite happy with the climate-policy-based electric vehicle tilt: lithium mining and processing. Shares of Albemarle Corporation, which supplies 30 to 35 per cent of the raw material for lithium batteries, have more than doubled over the past year.",ft,0.0|1.0|0.0|0.0,0.0|0.863|0.137|0.7346
24,Ready to roll,05/11/2016,"His favourite project is in the uplands of Albemarle County in the Piedmont region, between the James river and the Blue Ridge mountains.",ft,0.0|0.444|0.556|0.3612,0.0|1.0|0.0|0.0
25,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"Tianqi already produces lithium from the Greenbushes lithium mine in Australia, the other big source of lithium outside South America, in a joint venture with US producer Albemarle. This month, it announced plans to invest $300m in a lithium conversion facility in Australia.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
26,Investors grapple with the great resource shift,18/08/2016,"His fund has holdings in lithium miners Albemarle and FMC, battery material supplier Umicore, and carbon fibre maker Hexcel.",ft,0.0|0.594|0.406|0.6249,0.0|1.0|0.0|0.0
27,Chile’s buried treasure,09/07/2016,"Almost all of the world’s lithium comes from just four countries — Chile, Australia, Argentina and China — while just four companies control most of the supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle and...",ft,0.0|0.476|0.524|0.296,0.0|1.0|0.0|0.0
28,CHILE’S BURIED TREASURE,09/07/2016,"Almost all of the world’s lithium comes from just four countries – Chile, Australia, Argentina and China – while just four companies control most of the world’s supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle...",ft,0.0|0.476|0.524|0.296,0.0|1.0|0.0|0.0
